loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0852,2.3807930946350098,0.0001,0.006540222367560497,10,,,,,
0.6123,3.28367280960083,0.0001,0.013080444735120994,20,,,,,
0.542,4.881296634674072,0.0001,0.01962066710268149,30,,,,,
0.435,4.222667217254639,0.0001,0.026160889470241987,40,,,,,
0.4829,3.2178146839141846,0.0001,0.032701111837802485,50,,,,,
0.4076,2.814070701599121,0.0001,0.03924133420536298,60,,,,,
0.3214,3.611132860183716,0.0001,0.04578155657292348,70,,,,,
0.416,4.087066650390625,0.0001,0.052321778940483975,80,,,,,
0.3878,3.0294723510742188,0.0001,0.058862001308044476,90,,,,,
0.3854,3.074343681335449,0.0001,0.06540222367560497,100,,,,,
0.3523,3.800708055496216,0.0001,0.07194244604316546,110,,,,,
0.4603,5.454697608947754,0.0001,0.07848266841072596,120,,,,,
0.3972,2.679722309112549,0.0001,0.08502289077828647,130,,,,,
0.3448,3.4161081314086914,0.0001,0.09156311314584696,140,,,,,
0.4424,3.377985954284668,0.0001,0.09810333551340746,150,,,,,
0.3335,3.883366823196411,0.0001,0.10464355788096795,160,,,,,
0.3967,2.9016482830047607,0.0001,0.11118378024852844,170,,,,,
0.4151,3.6227200031280518,0.0001,0.11772400261608895,180,,,,,
0.4095,2.4252939224243164,0.0001,0.12426422498364945,190,,,,,
0.3516,3.288421154022217,0.0001,0.13080444735120994,200,,,,,
0.3013,2.4019060134887695,0.0001,0.13734466971877043,210,,,,,
0.3441,5.629144191741943,0.0001,0.14388489208633093,220,,,,,
0.3633,3.486452102661133,0.0001,0.15042511445389142,230,,,,,
0.3823,4.640732288360596,0.0001,0.15696533682145192,240,,,,,
0.3494,3.5701146125793457,0.0001,0.16350555918901244,250,,,,,
0.4187,2.7885704040527344,0.0001,0.17004578155657293,260,,,,,
0.3567,2.274463653564453,0.0001,0.17658600392413343,270,,,,,
0.416,4.0920090675354,0.0001,0.18312622629169392,280,,,,,
0.3306,3.087876319885254,0.0001,0.18966644865925442,290,,,,,
0.3347,3.08020281791687,0.0001,0.1962066710268149,300,,,,,
0.3969,4.427832126617432,0.0001,0.2027468933943754,310,,,,,
0.3637,3.9614062309265137,0.0001,0.2092871157619359,320,,,,,
0.3644,2.824126958847046,0.0001,0.2158273381294964,330,,,,,
0.3338,6.291501045227051,0.0001,0.2223675604970569,340,,,,,
0.3907,3.4596221446990967,0.0001,0.2289077828646174,350,,,,,
0.2829,4.203295707702637,0.0001,0.2354480052321779,360,,,,,
0.2984,4.01149320602417,0.0001,0.2419882275997384,370,,,,,
0.3716,3.6333632469177246,0.0001,0.2485284499672989,380,,,,,
0.3919,4.891388416290283,0.0001,0.25506867233485936,390,,,,,
0.3318,3.138535499572754,0.0001,0.2616088947024199,400,,,,,
0.3539,3.2995147705078125,0.0001,0.2681491170699804,410,,,,,
0.319,2.8065476417541504,0.0001,0.27468933943754087,420,,,,,
0.3173,3.216412305831909,0.0001,0.2812295618051014,430,,,,,
0.2929,2.7892885208129883,0.0001,0.28776978417266186,440,,,,,
0.2712,2.973780393600464,0.0001,0.2943100065402224,450,,,,,
0.414,3.615506172180176,0.0001,0.30085022890778285,460,,,,,
0.3154,2.209014892578125,0.0001,0.30739045127534337,470,,,,,
0.3201,3.4698710441589355,0.0001,0.31393067364290383,480,,,,,
0.3653,2.5314576625823975,0.0001,0.32047089601046436,490,,,,,
0.3699,3.464919090270996,0.0001,0.3270111183780249,500,,,,,
0.3599,3.110543727874756,0.0001,0.33355134074558535,510,,,,,
0.3478,2.767610788345337,0.0001,0.34009156311314587,520,,,,,
0.3388,3.253467321395874,0.0001,0.34663178548070633,530,,,,,
0.3204,3.741358995437622,0.0001,0.35317200784826686,540,,,,,
0.3454,3.808265447616577,0.0001,0.3597122302158273,550,,,,,
0.2337,2.757192611694336,0.0001,0.36625245258338784,560,,,,,
0.3357,5.989964008331299,0.0001,0.3727926749509483,570,,,,,
0.2967,3.2503652572631836,0.0001,0.37933289731850883,580,,,,,
0.2304,1.9553920030593872,0.0001,0.3858731196860693,590,,,,,
